number,date,title,location,topic,all instruments,main instrument,other instruments,mood,beard,genre,all styles,main style,other styles,noun,proper noun,length,inKey,tempo,videoID,layerorder
87,3/28/2009,I am Just a Little Post-It Note,Berkeley,Nerd,"Piano, Electric Guitar, Drum Machine",Piano,"Electric Guitar, Drum Machine",Silly,Clean,Rock,Silly,Silly,,Nerd,,1:18,Bm,80,https://www.youtube.com/watch?v=dw2ZL2eFDfU,"Background, Location, Topic, Mood, Instrument, Beard"
88,3/29/2009,Soren's Song,Berkeley,Commission,"Acoustic Guitar, Samples, Drum Machine",Acoustic Guitar,"Samples, Drum Machine",Happy,Clean,Folk,"Person, Wistful, Political",Person,"Wistful, Political",Kids,,2:09,F,80,https://www.youtube.com/watch?v=2yo3LbC4KbI,"Background, Location, Topic, Mood, Instrument, Beard"
89,3/30/2009,Jerry Springer,Berkeley,Contest,"Ukulele, Drum Machine",Ukulele,Drum Machine,Silly,Clean,Rock,Nerd,Nerd,,TV Show,Jerry Springer,1:43,F,100,https://www.youtube.com/watch?v=PG2WBfwooAk,"Background, Location, Topic, Mood, Instrument, Beard"
90,3/31/2009,The Close,Berkeley,TV,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Clean,Rock,Political,Political,,TV Show,,0:57,D,100,https://www.youtube.com/watch?v=OI-m2H_8q_c,"Background, Location, Topic, Mood, Instrument, Beard"
91,04.01.2009,Ringtone for Mike Trash,Berkeley,Ringtone,"Bass, Drum Machine",Bass,Drum Machine,Silly,Clean,Punk,"Fun, Person, Silly",Fun,"Person, Silly",,,0:42,C,240,https://www.youtube.com/watch?v=xJMK1M9ICsg,"Background, Location, Topic, Mood, Instrument, Beard"
92,04.02.2009,Ivory is in the Caribbean (And I Miss Her),Berkeley,Life,"Electric Guitar, Samples",Electric Guitar,Samples,Pensive,Clean,Folk,"Personal, Relationships, Love",Personal,"Relationships, Love",,,1:33,F,60,https://www.youtube.com/watch?v=e8RAqe0Qkf4,"Background, Location, Topic, Mood, Instrument, Beard"
93,04.03.2009,Tumblr,Berkeley,Internet,"Banjo, Shaker",Banjo,Shaker,Pensive,Clean,Folk,"Dark, Silly, Company, Nerd",Dark,"Silly, Company, Nerd",,Tumblr,1:41,B,48,https://www.youtube.com/watch?v=wiUuuL87OH4,"Background, Location, Topic, Mood, Instrument, Beard"
94,04.04.2009,The Ten Plagues,Berkeley,Nerd,"Piano, Electric Guitar, Drum Machine",Piano,"Electric Guitar, Drum Machine",Intense,Clean,Rock,"Myth, Heavy, Funny, Nerd, History",Myth,"Heavy, Funny, Nerd, History",God,,2:10,D,100,https://www.youtube.com/watch?v=x7Jv5hcE5jM,"Background, Location, Topic, Mood, Instrument, Beard"
95,04.05.2009,Pieces,Berkeley,Poetic,"Banjo, Acoustic Guitar, Shaker",Banjo,"Acoustic Guitar, Shaker",Pensive,Shadow,Folk,"Personal, Wistful",Personal,Wistful,,,2:15,B,136,https://www.youtube.com/watch?v=MJmH-0J5Wpk,"Background, Location, Topic, Mood, Instrument, Beard"
96,04.06.2009,My Baritone Ukulele and I,"Jupiter, FL",Song A Day,Baritone Ukulele,Baritone Ukulele,,Happy,Shadow,Folk,"Personal, Wistful, Nerd",Personal,"Wistful, Nerd",,,0:56,C#,118,https://www.youtube.com/watch?v=KjtpzSMuusw,"Background, Location, Topic, Mood, Instrument, Beard"
97,04.07.2009,"1 Week, 5 Days","Jupiter, FL",Life,Baritone Ukulele,Baritone Ukulele,,Sad,Clean,Folk,"Personal, Wistful, Relationships",Personal,"Wistful, Relationships",,,2:01,C#,85,https://www.youtube.com/watch?v=l2GNCegRzFU,"Background, Location, Topic, Mood, Instrument, Beard"
98,04.08.2009,Ringtone for Shelly,Berkeley,Ringtone,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Silly,Clean,Electro,"Silly, Personal",Silly,Personal,,,0:42,D,120,https://www.youtube.com/watch?v=CMYuGzBgX4o,"Background, Location, Topic, Mood, Instrument, Beard"
99,04.09.2009,When I Was Born,Berkeley,Life,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Pensive,Shadow,Rock,"Personal, Silly",Personal,Silly,"Birthday, My Birthday",,1:17,E,65,https://www.youtube.com/watch?v=aexHE2DueBA,"Background, Location, Topic, Mood, Instrument, Beard"
100,04.10.2009,When the Lighthouse Went Dark,Berkeley,Poetic,"Electric Guitar, Samples, Drum Machine",Electric Guitar,"Samples, Drum Machine",Silly,Shadow,Metal,"Dark, Scary",Dark,Scary,,,1:29,Dm,70,https://www.youtube.com/watch?v=ySnfNdfESBE,"Background, Location, Topic, Mood, Instrument, Beard"
101,04.11.2009,Zombie Banks,Berkeley,Politics,"Piano, Drum Machine",Piano,Drum Machine,Silly,Clean,Rock,"Political, Funny, Zombie",Political,"Funny, Zombie",,,1:14,C,115,https://www.youtube.com/watch?v=aCAPzJEpuCA,"Background, Location, Topic, Mood, Instrument, Beard"
102,04.12.2009,Ringtone for Casey,Berkeley,Ringtone,"Samples, Drum Machine",Samples,Drum Machine,Silly,Clean,Electro,"Ringtone, Personal",Ringtone,Personal,,,0:43,F,140,https://www.youtube.com/watch?v=mwBq8u7Fvx8,"Background, Location, Topic, Mood, Instrument, Beard"
103,4/13/2009,Oreo Love,Berkeley,Food,Harpsichord,Harpsichord,,Silly,Clean,Folk,"Silly, Food",Silly,Food,,Oreo,1:34,Am,135,https://www.youtube.com/watch?v=BiI1lus4NGk,"Background, Location, Topic, Mood, Instrument, Beard"
104,4/14/2009,Ringtone for Jackie,Berkeley,Ringtone,"Acoustic Guitar, Shaker",Acoustic Guitar,Shaker,Chill,Clean,Folk,"Wistful, Personal",Wistful,Personal,,,0:33,G,106,https://www.youtube.com/watch?v=5B450Qpzuec,"Background, Location, Topic, Mood, Instrument, Beard"
105,4/15/2009,It's Like Trying to Fill a Styrofoam Cup With a Hole in the Bottom,Berkeley,Object,"Piano, Electric Guitar, Samples, Drum Machine",Piano,"Electric Guitar, Samples, Drum Machine",Chill,Clean,Rock,"Funny, Weird",Funny,Weird,Styrofoam Cup,,2:21,A,140,https://www.youtube.com/watch?v=7CiTRHrA3vM,"Background, Location, Topic, Mood, Instrument, Beard"
106,4/16/2009,Keyboard Shortcuts,Berkeley,Nerd,"Acoustic Guitar, Drum Machine",Acoustic Guitar,Drum Machine,Chill,Clean,Ambient,Silly,Silly,,,,0:24,G,90,https://www.youtube.com/watch?v=gVT9SToJsMI,"Background, Location, Topic, Mood, Instrument, Beard"
107,4/17/2009,Ringtone for Michaela,Berkeley,Ringtone,"Piano, Drum Machine",Piano,Drum Machine,Pensive,Clean,Rock,"Person, Wistful",Person,Wistful,,,0:54,C,60,https://www.youtube.com/watch?v=EY9vn2mXIsc,"Background, Location, Topic, Mood, Instrument, Beard"
108,4/18/2009,Torture Memos: Waterboarding,Berkeley,Politics,"Acoustic Guitar, Piano, Samples, Drum Machine",Acoustic Guitar,"Piano, Samples, Drum Machine",Angry,Shadow,Rock,"Dark, Political, Songify, SJW",Dark,"Political, Songify, SJW",,,2:08,D,76,https://www.youtube.com/watch?v=sJSXbA9j0Js,"Background, Location, Topic, Mood, Instrument, Beard"
109,4/19/2009,"I am israel, I am Palestine",Berkeley,Politics,"Acoustic Guitar, Electric Guitar, Bass, Shaker",Acoustic Guitar,"Electric Guitar, Bass, Shaker",Pensive,Clean,Folk,Political,Political,,Middle East,"Israel, Palestine",3:54,F#,67,https://www.youtube.com/watch?v=paFtzERJ8hM,"Background, Location, Topic, Mood, Instrument, Beard"
110,4/20/2009,Cannabis Criminalization: a Short History in Song,Berkeley,Politics,"Electric Guitar, Shaker",Electric Guitar,Shaker,Silly,Shadow,Country,"Funny, Political, History, Educational",Funny,"Political, History, Educational",,,3:42,Eb,114,https://www.youtube.com/watch?v=cNYbrO9OWP4,"Background, Location, Topic, Mood, Instrument, Beard"
111,4/21/2009,Wren the Polyamorous Polar Bear and His Story of Redemtion,Berkeley,Animals,"Acoustic Guitar, Piano, Samples, Drum Machine",Acoustic Guitar,"Piano, Samples, Drum Machine",Silly,Shadow,Rock,"Narrative, Funny, Nerd",Narrative,"Funny, Nerd","Bear, Polar Bear",,2:49,E,110,https://www.youtube.com/watch?v=ivfyckWwbww,"Background, Location, Topic, Mood, Instrument, Beard"
112,4/22/2009,Fire Engine Red,Berkeley,Commission,"Acoustic Guitar, Organ, Piano, Samples, Drum Machine",Acoustic Guitar,"Organ, Piano, Samples, Drum Machine",Intense,Shadow,Rock,Heavy,Heavy,,Company,,2:23,F,116,https://www.youtube.com/watch?v=_ekL68m7fMw,"Background, Location, Topic, Mood, Instrument, Beard"
113,4/23/2009,Spintown,Berkeley,Commission,"Acoustic Guitar, Organ, Piano, Samples, Drum Machine",Acoustic Guitar,"Organ, Piano, Samples, Drum Machine",Silly,Clean,Rock,"Heavy, Fun, Internet",Heavy,"Fun, Internet",,,1:40,G,140,https://www.youtube.com/watch?v=rFc3ew0BRnQ,"Background, Location, Topic, Mood, Instrument, Beard"
114,4/24/2009,Lindsay McCove,Berkeley,Internet,"Electric Guitar, Samples",Electric Guitar,Samples,Silly,Clean,Folk,"Distortion, Web Series, Dating",Distortion,"Web Series, Dating",Person,,0:35,C,120,https://www.youtube.com/watch?v=dvBDbdhCi4E,"Background, Location, Topic, Mood, Instrument, Beard"
115,4/25/2009,"Steve, the Hippo With Multiple Personalities",Berkeley,Animals,"Piano, Electric Guitar, Samples, Drum Machine",Piano,"Electric Guitar, Samples, Drum Machine",Silly,Clean,Rock,"Fun, Narrative, Funny, Nerd",Fun,"Narrative, Funny, Nerd",Hippo,,2:34,C,140,https://www.youtube.com/watch?v=QHwckqyrza4,"Background, Location, Topic, Mood, Instrument, Beard"
116,4/26/2009,Ringtone for Liam and Keane's Dad!,Berkeley,Ringtone,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Silly,Clean,Rock,Fun,Fun,,Person,,0:33,E,120,https://www.youtube.com/watch?v=WpQ4KyQE0aI,"Background, Location, Topic, Mood, Instrument, Beard"
117,4/27/2009,Don't Let Your Ovaries Get You Down,Berkeley,Life,"Acoustic Guitar, Electric Guitar, Samples, Drum Machine",Acoustic Guitar,"Electric Guitar, Samples, Drum Machine",Intense,Clean,Rock,"Fun, Motivational, Nerd, Health",Fun,"Motivational, Nerd, Health",,Ivory King,1:03,Bb,106,https://www.youtube.com/watch?v=PgQY-8RETeE,"Background, Location, Topic, Mood, Instrument, Beard"
118,4/28/2009,Swine Flu: the Musical,Berkeley,Politics,"Piano, Electric Guitar, Samples, Drum Machine",Piano,"Electric Guitar, Samples, Drum Machine",Silly,Shadow,Rock,"Funny, Political, Health",Funny,"Political, Health",,,1:58,A,90,https://www.youtube.com/watch?v=sgBm8jvg-bs,"Background, Location, Topic, Mood, Instrument, Beard"
119,4/29/2009,Lost in the Tubes! a PSA in Song,Berkeley,Internet,"Piano, Electric Guitar, Samples, Drum Machine",Piano,"Electric Guitar, Samples, Drum Machine",Silly,Shadow,Electro,"Fun, Dancing, Motivational, Nerd",Fun,"Dancing, Motivational, Nerd",Internet,,1:44,C,150,https://www.youtube.com/watch?v=YNB5kZkvLP8,"Background, Location, Topic, Mood, Instrument, Beard"
120,4/30/2009,The Continuing Adventures of Bulldog and the Dude,Berkeley,Commission,"Piano, Electric Guitar, Samples, Drum Machine",Piano,"Electric Guitar, Samples, Drum Machine",Silly,Shadow,Country,"Fun, Silly",Fun,Silly,"Person, Radio",,1:41,Am,105,https://www.youtube.com/watch?v=Mj1XlFVUURk,"Background, Location, Topic, Mood, Instrument, Beard"
121,05.01.2009,To: Sarah and Mike From: Meredith and Adam re: Sorry About your bikes,Berkeley,Commission,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Sad,Shadow,Rock,"Person, Fun, Apology",Person,"Fun, Apology",,,1:11,C,120,https://www.youtube.com/watch?v=AHafu9FjIcE,"Background, Location, Topic, Mood, Instrument, Beard"
122,05.02.2009,Happy Birthday Shaista,Berkeley,Friend,Baritone Ukulele,Baritone Ukulele,,Happy,Shadow,Folk,"Person, Fun, Birthday",Person,"Fun, Birthday",,,2:23,B,116,https://www.youtube.com/watch?v=7hMjEwUcceg,"Background, Location, Topic, Mood, Instrument, Beard"
123,05.03.2009,We Are Pattern Machines,Berkeley,Poetic,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Intense,Shadow,Rock,"Dark, Wistful, Nerd, Science",Dark,"Wistful, Nerd, Science",,,2:18,C,85,https://www.youtube.com/watch?v=6oYXzpkRJME,"Background, Location, Topic, Mood, Instrument, Beard"
124,05.04.2009,"Hey, Miss California",Berkeley,Politics,"Electric Guitar, Claps",Electric Guitar,Claps,Happy,Shadow,Folk,"Funny, Political",Funny,Political,,,2:34,E,140,https://www.youtube.com/watch?v=G-wKnV_ZTbo,"Background, Location, Topic, Mood, Instrument, Beard"
125,05.05.2009,You Deserve a Bank Like This,Berkeley,Commission,"Acoustic Guitar, Piano, Samples, Drum Machine",Acoustic Guitar,"Piano, Samples, Drum Machine",Happy,Shadow,Rock,"Political, Economy",Political,Economy,SJW,,1:12,F,113,https://www.youtube.com/watch?v=C2a1UfbV7G0,"Background, Location, Topic, Mood, Instrument, Beard"
126,05.06.2009,BIrthday Song for Mimi Hughes,Berkeley,Commission,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Happy,Clean,Rock,"Fun, Birthday",Fun,Birthday,Person,,1:46,F,160,https://www.youtube.com/watch?v=5XcB67lzAMM,"Background, Location, Topic, Mood, Instrument, Beard"
127,05.07.2009,Don't Give in to Madness,Berkeley,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Clean,Folk,Motivational,Motivational,,,,2:39,G,153,https://www.youtube.com/watch?v=eXYrUSMJlrw,"Background, Location, Topic, Mood, Instrument, Beard"
128,05.08.2009,The Pitch,Berkeley,Life,"Acoustic Guitar, Electric Guitar",Acoustic Guitar,Electric Guitar,Pensive,Clean,Folk,Narrative,Narrative,,,,2:12,F,125,https://www.youtube.com/watch?v=-AxfNHQd-sY,"Background, Location, Topic, Mood, Instrument, Beard"
129,05.09.2009,Roll My Kroalnos Home,Berkeley,Poetic,"Acoustic Guitar, Synths, Samples, Drum Machine",Acoustic Guitar,"Synths, Samples, Drum Machine",Intense,Shadow,Rock,Dark,Dark,,Backyard,,2:16,Am,90,https://www.youtube.com/watch?v=NpAd2uG6CHk,"Background, Location, Topic, Mood, Instrument, Beard"
130,05.10.2009,Flying to Vienna Pt 1,Berkeley,Life,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Intense,Shadow,Rock,"Narrative, Travel",Narrative,Travel,,,0:59,Am,141,https://www.youtube.com/watch?v=07uO6bEpbWc,"Background, Location, Topic, Mood, Instrument, Beard"
131,05.11.2009,Flying to Vienna Pt 2,Vienna,Life,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Intense,Shadow,Rock,"Narrative, Travel",Narrative,Travel,,,0:56,Am,141,https://www.youtube.com/watch?v=waMjI15_USw,"Background, Location, Topic, Mood, Instrument, Beard"
132,05.12.2009,GameDeals Theme,Vienna,Commission,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Electro,"Distortion, Narrative, Nerd",Distortion,"Narrative, Nerd","Person, Video Games, Web Series",,0:36,C,170,https://www.youtube.com/watch?v=g_7zrWaN3oc,"Background, Location, Topic, Mood, Instrument, Beard"
133,5/13/2009,Springtime in Vienna,Vienna,Life,Acoustic Guitar,Acoustic Guitar,,Chill,Shadow,Folk,"Narrative, Place, Backyard",Narrative,"Place, Backyard",,,2:49,Db,88,https://www.youtube.com/watch?v=bh7qn8hBpeo,"Background, Location, Topic, Mood, Instrument, Beard"
134,5/14/2009,Why Do Potatoes Argue?,Vienna,Food,"Synths, Drum Machine",Synths,Drum Machine,Silly,Shadow,Rock,"Narrative, Funny, Nerd",Narrative,"Funny, Nerd","Food, Potatoes",,1:05,F,80,https://www.youtube.com/watch?v=aZoUK8jtgbo,"Background, Location, Topic, Mood, Instrument, Beard"
135,5/15/2009,If You're Gonna Do It (Do It Yourself),Vienna,Poetic,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,Motivational,Motivational,,,,2:36,F#,82,https://www.youtube.com/watch?v=2qNC7kadXHk,"Background, Location, Topic, Mood, Instrument, Beard"
136,5/16/2009,Old Man Sleeping By the Side of the Road,Vienna,Poetic,Baritone Ukulele,Baritone Ukulele,,Chill,Clean,Folk,"Dark, Narrative",Dark,Narrative,,,2:04,Gb,80,https://www.youtube.com/watch?v=UIIzeUAE5ds,"Background, Location, Topic, Mood, Instrument, Beard"
137,5/17/2009,There's a Hole in His Hat,Vienna,Life,Vocals,Vocals,,Silly,Clean,Acapella,"Fun, Nerd",Fun,Nerd,Person,,1:45,E,180,https://www.youtube.com/watch?v=txSXoLerzRc,"Background, Location, Topic, Mood, Instrument, Beard"
138,5/18/2009,Who Will Remain (2009),Vienna,Poetic,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Intense,Shadow,Rock,"Dark, Political",Dark,Political,,,3:34,F,56,https://www.youtube.com/watch?v=DNUs-sJYsDc,"Background, Location, Topic, Mood, Instrument, Beard"
139,5/19/2009,The Botanical Gardens of the Univeristy of Vienna,Vienna,Life,Baritone Ukulele,Baritone Ukulele,,Silly,Shadow,Folk,"Fun, Place",Fun,Place,Botanical Garden,,2:29,Ab,117,https://www.youtube.com/watch?v=g5M2Vm58r0w,"Background, Location, Topic, Mood, Instrument, Beard"
140,5/20/2009,Frodo Uses the Hobbit ATM,Vienna,Nerd,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Silly,Shadow,Rock,"Dark, Narrative, Fun, Nerd",Dark,"Narrative, Fun, Nerd","Book, Hobbit, Object, ATM",Frodo,2:15,Dm,120,https://www.youtube.com/watch?v=_jotZWp0398,"Background, Location, Topic, Mood, Instrument, Beard"
141,5/21/2009,A Sleepy German Train Ride,Vienna,Poetic,Baritone Ukulele,Baritone Ukulele,,Chill,Clean,Folk,Travel,Travel,,,,1:11,Gb,106,https://www.youtube.com/watch?v=vG38JS5SVj0,"Background, Location, Topic, Mood, Instrument, Beard"
142,5/22/2009,What Are They Gonna Do?,Vienna,Politics,Baritone Ukulele,Baritone Ukulele,,Intense,Clean,Folk,"Wistful, Nerd, Internet, Hackers",Wistful,"Nerd, Internet, Hackers",,,3:54,E,58,https://www.youtube.com/watch?v=jVQovH2QTAQ,"Background, Location, Topic, Mood, Instrument, Beard"
143,5/23/2009,The CCC Anthem,Vienna,Politics,Baritone Ukulele,Baritone Ukulele,,Intense,Clean,Folk,"Fun, Nerd, Internet, Hackers",Fun,"Nerd, Internet, Hackers",,,1:11,Ab,130,https://www.youtube.com/watch?v=EgHtBA-h5xo,"Background, Location, Topic, Mood, Instrument, Beard"
144,5/24/2009,Tarsiers Are My Friends,Vienna,Animals,Baritone Ukulele,Baritone Ukulele,,Silly,Clean,Folk,"Fun, Nerdy, Friend",Fun,"Nerdy, Friend","Animals, Tarsiers",,3:34,D#,177,https://www.youtube.com/watch?v=skAWxChA2HU,"Background, Location, Topic, Mood, Instrument, Beard"
145,5/25/2009,Meditation on Friends in the Key of G,Vienna,Poetic,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,Friend,Friend,,Person,,3:19,C#,92,https://www.youtube.com/watch?v=Ordtl30Vd7s,"Background, Location, Topic, Mood, Instrument, Beard"
146,5/26/2009,Floating Orb in Flame,Los Angeles,Life,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,Dark,Dark,,,,1:11,Db,97,https://www.youtube.com/watch?v=SWwBDvRUhfo,"Background, Location, Topic, Mood, Instrument, Beard"
147,5/27/2009,"Goodbye Vodka, Voddy",Los Angeles,Animals,"Synths, Drum Machine",Synths,Drum Machine,Sad,Shadow,Electro,"Dark, Friend",Dark,Friend,Cats,,2:12,C,140,https://www.youtube.com/watch?v=QMliaYkuKv0,"Background, Location, Topic, Mood, Instrument, Beard"
148,5/28/2009,The Smog Gets Thicker,Los Angeles,Poetic,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,Good,Good,,,,1:48,F,83,https://www.youtube.com/watch?v=fNDbEnetYuw,"Background, Location, Topic, Mood, Instrument, Beard"
149,5/29/2009,Terror at Arkham (Arkham Horror: a True Story),Los Angeles,Nerd,Baritone Ukulele,Baritone Ukulele,,Intense,Shadow,Folk,"Dark, Narrative, A Scary, Silly, Myth, Collab, Sci-Fi",Dark,"Narrative, A Scary, Silly, Myth, Collab, Sci-Fi",Board Game,"Arkham Horror, HP Lovecraft, Ivory, Heather Peralto, Brendan Whalen, Jason Brown",3:45,G#m,163,https://www.youtube.com/watch?v=ATiFGv3rJdQ,"Background, Location, Topic, Mood, Instrument, Beard"
150,5/30/2009,Gladiator Meow,Los Angeles,Poetic,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,Narrative,Narrative,,,,3:36,F,103,https://www.youtube.com/watch?v=kN6Q-UEPQe0,"Background, Location, Topic, Mood, Instrument, Beard"
151,5/31/2009,A Letter to the Killer of George Tiller,Los Angeles,Politics,"Baritone Ukulele, Samples, Drum Machine",Baritone Ukulele,"Samples, Drum Machine",Sad,Shadow,Folk,"Dark, Frustrated, Political",Dark,"Frustrated, Political",,George Tiller,2:39,Db,76,https://www.youtube.com/watch?v=jYnggj-E92k,"Background, Location, Topic, Mood, Instrument, Beard"
152,06.01.2009,Bandcamp.com Anthem,Los Angeles,Internet,Baritone Ukulele,Baritone Ukulele,,Silly,Shadow,Folk,"Fun, Nerd, Website, Bandcamp",Fun,"Nerd, Website, Bandcamp",,,2:13,F,184,https://www.youtube.com/watch?v=B-KvxhEA6yA,"Background, Location, Topic, Mood, Instrument, Beard"
153,06.02.2009,Half Drunk Mugs of Tea,Los Angeles,Life,Baritone Ukulele,Baritone Ukulele,,Pensive,Shadow,Folk,"Delicate, Wistful, Political",Delicate,"Wistful, Political",Obama,,2:29,A,107,https://www.youtube.com/watch?v=K2pWG8dkWys,"Background, Location, Topic, Mood, Instrument, Beard"
154,06.03.2009,Saved By the Bell Again,Los Angeles,TV,"Synths, Drum Machine",Synths,Drum Machine,Chill,Shadow,Electro,"Fun, Nerd, TV Show",Fun,"Nerd, TV Show",,Saved By The Bell,1:55,C,125,https://www.youtube.com/watch?v=LOyW9H60n4Q,"Background, Location, Topic, Mood, Instrument, Beard"
155,06.04.2009,Don't Throw My Shoe at Me,Los Angeles,Commission,Piano,Piano,,Intense,Shadow,Rock,"Rough, Catchy, Relationships, Collab",Rough,"Catchy, Relationships, Collab",,Dylan Mckenzie,3:08,Gb,105,https://www.youtube.com/watch?v=r5YKhCp9VM8,"Background, Location, Topic, Mood, Instrument, Beard"
156,06.05.2009,This Here is a Subscribe Drive,Los Angeles,Song A Day,Baritone Ukulele,Baritone Ukulele,,Silly,Clean,Folk,"Personal, Funny, Plea Frustrated",Personal,"Funny, Plea Frustrated",,,3:17,C,85,https://www.youtube.com/watch?v=9PdVmitdUXU,"Background, Location, Topic, Mood, Instrument, Beard"
